state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
KS,2022,Kansas,True,2020.0,True,20,107784.0,627.0,149.0,90.3,506037.0,8.59,2876222.0,247070.0,19157.0,21.6,25.6
KS,2023,Kansas,True,2020.0,True,20,124473.0,650.0,139.0,91.4,445068.0,8.35,2876621.0,240302.0,16689.0,15.5,45.0
KS,2024,Kansas,True,2020.0,True,20,171376.0,634.0,111.0,93.3,420776.0,8.53,2907131.0,248116.0,46903.0,37.7,99.7
KS,2025,Kansas,True,2020.0,True,20,200046.0,649.0,106.0,93.7,398119.0,,,,28670.0,16.7,133.1
KS,2026,Kansas,True,2020.0,True,20,192811.0,779.0,160.0,88.7,,,,,-7235.0,-3.6,124.6
KY,2020,Kentucky,True,2014.0,True,21,83139.0,594.0,185.0,80.3,1529906.0,,,,,,0.0
KY,2021,Kentucky,True,2014.0,True,21,77821.0,605.0,199.0,79.5,1524888.0,5.66,4428392.0,250787.0,-5318.0,-6.4,-6.4
KY,2022,Kentucky,True,2014.0,True,21,,,,,1618816.0,5.58,4428274.0,246961.0,,0.0,
KY,2023,Kentucky,True,2014.0,True,21,62562.0,603.0,193.0,82.7,1500588.0,5.43,4442248.0,241241.0,,-19.6,-24.8
KY,2024,Kentucky,True,2014.0,True,21,75317.0,621.0,206.0,83.2,1385807.0,6.85,4507797.0,308763.0,12755.0,20.4,-9.4
KY,2025,Kentucky,True,2014.0,True,21,97374.0,601.0,180.0,85.8,1321415.0,,,,22057.0,29.3,17.1
KY,2026,Kentucky,True,2014.0,True,21,89028.0,797.0,288.0,80.2,,,,,-8346.0,-8.6,7.1
LA,2020,Louisiana,True,2016.0,True,22,87748.0,677.0,190.0,86.3,1699940.0,,,,,,0.0
LA,2021,Louisiana,True,2016.0,True,22,83159.0,741.0,189.0,87.8,1807746.0,7.65,4518319.0,345499.0,-4589.0,-5.2,-5.2
LA,2022,Louisiana,True,2016.0,True,22,99626.0,764.0,157.0,92.8,1896206.0,6.95,4494008.0,312196.0,16467.0,19.8,13.5
LA,2023,Louisiana,True,2016.0,True,22,120804.0,766.0,126.0,94.3,1751214.0,6.92,4477873.0,309811.0,21178.0,21.3,37.7
LA,2024,Louisiana,True,2016.0,True,22,212493.0,710.0,90.0,95.9,1533927.0,7.73,4505220.0,348045.0,91689.0,75.9,142.2
LA,2025,Louisiana,True,2016.0,True,22,292994.0,642.0,72.0,96.1,1394638.0,,,,80501.0,37.9,233.9
LA,2026,Louisiana,True,2016.0,True,22,296648.0,759.0,144.0,91.2,,,,,3654.0,1.2,238.1
MA,2020,Massachusetts,True,2014.0,False,25,319612.0,398.0,198.0,76.2,1730716.0,,,,,,0.0
MA,2021,Massachusetts,True,2014.0,False,25,294097.0,435.0,228.0,72.9,1853472.0,2.5,6916106.0,172655.0,-25515.0,-8.0,-8.0
MA,2022,Massachusetts,True,2014.0,False,25,268023.0,470.0,201.0,72.2,1977039.0,2.42,6919123.0,167659.0,-26074.0,-8.9,-16.1
