year,state_abbr,platform,total_plan_selections,new_consumers,avg_monthly_premium,avg_premium_after_aptc,aptc_consumers,aptc_avg_amount,aptc_avg_premium_after,csr_consumers,total_reenrollees,age_0_17,age_18_25,age_26_34,age_35_44,age_45_54,age_55_64,age_65_plus,male,female,premium_lte_10,pct_with_aptc
2021,SD,HC.gov,31375.0,5763.0,698.0,132.0,28451.0,625.0,89.0,13629.0,25612.0,4791.0,2786.0,5535.0,5262.0,4514.0,8371.0,116.0,14781.0,16594.0,,90.7
2021,TN,HC.gov,212052.0,49075.0,619.0,162.0,181928.0,532.0,101.0,98344.0,162977.0,12414.0,17154.0,35416.0,33841.0,43273.0,67790.0,2164.0,96719.0,115333.0,,85.8
2021,TX,HC.gov,1291972.0,354789.0,550.0,120.0,1158417.0,479.0,78.0,718178.0,937183.0,136627.0,151637.0,183469.0,205322.0,262089.0,320391.0,32437.0,574755.0,717217.0,,89.7
2021,UT,HC.gov,207911.0,38355.0,405.0,91.0,186984.0,349.0,62.0,91691.0,169556.0,58524.0,24462.0,36155.0,33824.0,24897.0,28883.0,1166.0,99874.0,108037.0,,89.9
2021,VA,HC.gov,261943.0,53053.0,595.0,171.0,218716.0,508.0,100.0,94515.0,208890.0,30643.0,23330.0,38690.0,40154.0,49425.0,72916.0,6785.0,119812.0,142131.0,,83.5
2021,VT,SBM,24866.0,2436.0,1050.0,461.0,19889.0,736.0,294.0,7974.0,22430.0,961.0,1990.0,3998.0,4192.0,4943.0,8551.0,231.0,11976.0,12889.0,,80.0
2021,WA,SBM,222731.0,49224.0,505.0,262.0,135303.0,399.0,134.0,58564.0,173507.0,15459.0,17789.0,38456.0,38096.0,41570.0,67355.0,4006.0,101353.0,121369.0,,60.7
2021,WI,HC.gov,191702.0,31173.0,629.0,185.0,159719.0,533.0,118.0,66235.0,160529.0,10089.0,13082.0,27835.0,27758.0,32669.0,79018.0,1251.0,87790.0,103912.0,,83.3
2021,WV,HC.gov,19381.0,3442.0,1038.0,323.0,16605.0,835.0,221.0,8595.0,15939.0,930.0,1009.0,2280.0,2829.0,3777.0,8366.0,190.0,8429.0,10952.0,,85.7
2021,WY,HC.gov,26728.0,6012.0,870.0,127.0,24216.0,820.0,60.0,5367.0,20716.0,3898.0,2279.0,4738.0,4491.0,3953.0,7244.0,125.0,12170.0,14558.0,,90.6
2022,AK,HC.gov,22786.0,5909.0,746.0,158.0,19367.0,692.0,77.0,5193.0,16877.0,3383.0,1536.0,3962.0,4103.0,3813.0,5715.0,274.0,10867.0,11919.0,8962.0,85.0
2022,AL,HC.gov,219314.0,50917.0,765.0,96.0,206677.0,710.0,66.0,150977.0,168397.0,5970.0,24241.0,41074.0,42324.0,46191.0,58276.0,1238.0,91877.0,127437.0,107621.0,94.2
2022,AR,HC.gov,88226.0,23764.0,537.0,134.0,78977.0,449.0,97.0,47417.0,64462.0,8972.0,7784.0,13172.0,14331.0,16591.0,26633.0,743.0,39645.0,48581.0,16491.0,89.5
2022,AZ,HC.gov,199706.0,48940.0,554.0,180.0,167009.0,446.0,120.0,86729.0,150766.0,30161.0,16616.0,25540.0,26715.0,35247.0,63127.0,2300.0,92186.0,107520.0,31074.0,83.6
2022,CA,SBM,1777442.0,255575.0,579.0,150.0,1599264.0,459.0,115.0,741179.0,1521867.0,127513.0,160915.0,324530.0,282664.0,349299.0,514723.0,17798.0,863808.0,912666.0,426882.0,90.0
2022,CO,SBM,198412.0,37164.0,466.0,191.0,147682.0,368.0,124.0,53033.0,161248.0,21044.0,14506.0,34448.0,32677.0,32591.0,53300.0,9846.0,96110.0,102302.0,45154.0,74.4
2022,CT,SBM,112633.0,19267.0,741.0,207.0,91834.0,654.0,115.0,40805.0,93366.0,8760.0,9406.0,16072.0,15406.0,21262.0,39559.0,2168.0,52530.0,60103.0,32030.0,81.5
2022,DC,SBM,15989.0,2753.0,559.0,502.0,2622.0,407.0,264.0,340.0,13236.0,1634.0,914.0,4456.0,3643.0,2539.0,2593.0,210.0,7606.0,8383.0,39.0,16.4
2022,DE,HC.gov,32113.0,7087.0,706.0,169.0,28543.0,604.0,114.0,7527.0,25026.0,4079.0,2459.0,4665.0,4734.0,5532.0,10170.0,474.0,14511.0,17602.0,8141.0,88.9
2022,FL,HC.gov,2723094.0,593885.0,611.0,80.0,2620652.0,552.0,60.0,1718572.0,2129209.0,238808.0,303689.0,401706.0,475045.0,570924.0,672283.0,60639.0,1260457.0,1462637.0,1033293.0,96.2
2022,GA,HC.gov,701135.0,179768.0,530.0,105.0,642497.0,464.0,72.0,445159.0,521367.0,50768.0,82496.0,113310.0,125428.0,151281.0,166575.0,11277.0,311615.0,389520.0,159363.0,91.6
2022,HI,HC.gov,22327.0,4082.0,642.0,164.0,18547.0,576.0,97.0,6807.0,18245.0,1361.0,1281.0,3091.0,4370.0,4851.0,6916.0,457.0,10091.0,12236.0,4631.0,83.1
2022,IA,HC.gov,72240.0,15912.0,666.0,135.0,64409.0,595.0,90.0,17783.0,56328.0,4614.0,5252.0,10906.0,11332.0,11981.0,27585.0,570.0,34232.0,38008.0,24945.0,89.2
2022,ID,SBM,73359.0,11041.0,508.0,214.0,46955.0,460.0,63.0,14730.0,62318.0,13042.0,7360.0,10113.0,11043.0,10801.0,19465.0,242.0,33534.0,38532.0,19468.0,64.0
2022,IL,HC.gov,323427.0,68023.0,643.0,204.0,280832.0,506.0,155.0,133243.0,255404.0,21583.0,24761.0,55101.0,52097.0,60858.0,104348.0,4679.0,154056.0,169371.0,42867.0,86.8
2022,IN,HC.gov,156926.0,35898.0,564.0,193.0,127460.0,458.0,121.0,61368.0,121028.0,15803.0,11781.0,21613.0,24353.0,28320.0,53782.0,1274.0,73016.0,83910.0,20637.0,81.2
2022,KS,HC.gov,107784.0,23178.0,627.0,149.0,97361.0,530.0,104.0,49878.0,84606.0,10111.0,10081.0,17576.0,18478.0,18333.0,32167.0,1038.0,49453.0,58331.0,20467.0,90.3
2022,LA,HC.gov,99626.0,23222.0,764.0,157.0,92466.0,655.0,118.0,45950.0,76404.0,8148.0,6863.0,14853.0,16637.0,19361.0,32683.0,1081.0,44720.0,54906.0,26870.0,92.8
2022,MA,SBM,268023.0,25759.0,470.0,201.0,193507.0,373.0,97.0,157825.0,242264.0,10037.0,22528.0,58082.0,55719.0,52355.0,65036.0,4266.0,124952.0,143071.0,45080.0,72.2
2022,MD,SBM,181603.0,39658.0,447.0,158.0,142650.0,383.0,99.0,46795.0,141945.0,10306.0,15069.0,34507.0,32167.0,34077.0,46860.0,8617.0,80965.0,100638.0,18651.0,78.6
2022,ME,SBM,66095.0,11025.0,554.0,163.0,54844.0,470.0,102.0,19660.0,55070.0,8879.0,4188.0,9437.0,9846.0,11242.0,21994.0,509.0,30737.0,35358.0,11377.0,83.0
2022,MI,HC.gov,303550.0,62475.0,503.0,170.0,258712.0,390.0,125.0,111671.0,241075.0,36194.0,23338.0,43785.0,43500.0,51226.0,102591.0,2916.0,144830.0,158720.0,47516.0,85.2
2022,MN,SBM,121322.0,26142.0,481.0,280.0,71672.0,340.0,190.0,10261.0,95180.0,14061.0,8388.0,16901.0,17548.0,18709.0,45124.0,591.0,59228.0,62094.0,1989.0,59.1
2022,MO,HC.gov,250341.0,46810.0,629.0,137.0,225808.0,546.0,93.0,138996.0,203531.0,17860.0,22824.0,39346.0,42811.0,47282.0,78353.0,1865.0,115451.0,134890.0,52038.0,90.2
2022,MS,HC.gov,143014.0,36935.0,618.0,72.0,137882.0,566.0,53.0,114400.0,106079.0,6852.0,17480.0,21638.0,26835.0,31309.0,37764.0,1136.0,58029.0,84985.0,29707.0,96.4
2022,MT,HC.gov,51134.0,10121.0,577.0,142.0,44408.0,500.0,91.0,14380.0,41013.0,5364.0,3766.0,8545.0,8846.0,8395.0,15979.0,239.0,24550.0,26584.0,15573.0,86.8
2022,NC,HC.gov,670223.0,150846.0,637.0,96.0,625977.0,579.0,68.0,335207.0,519377.0,60682.0,65058.0,110427.0,115450.0,136733.0,175507.0,6366.0,300892.0,369331.0,240243.0,93.4
2022,ND,HC.gov,29873.0,6627.0,507.0,100.0,26898.0,452.0,69.0,7641.0,23246.0,7063.0,2489.0,4584.0,4450.0,3716.0,7417.0,154.0,14702.0,15171.0,12154.0,90.0
